Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_sgd
Acer,Swift 7,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 615,Windows 10,1.12,1552.73
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1703.45
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,1TB SSD,Intel HD Graphics 620,Windows 10,1.42,4433.68
Vero,K147,Notebook,14.0,1920x1080,Intel Others,4,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.3,408.2
Xiaomi,Mi Notebook,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce MX150,No OS,1.3,1569.84
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel Core i5,8,256GB SSD,Nvidia GeForce MX150,No OS,2.8,1095.86
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62,1317.23
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1434.98
Razer,Blade Pro,Gaming,17.3,3840x2160,Intel Core i7,32,1TB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49,9575.43
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i5,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1505.63
HP,Omen 17-W295,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,2165.03
HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5,1640.65
Dell,Inspiron 7577,Gaming,15.6,3840x2160,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,2896.65
Lenovo,V110-15ISK,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,774.01
Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.23,1164.94
Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,2745.93
Dell,Precision 7520,Workstation,15.6,3840x2160,Intel Others,16,256GB SSD +  1TB HDD,Nvidia Quadro M1200,Windows 10,2.8,4796.35
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1060,No OS,2.4,2194.86
Dell,Inspiron 3567,Notebook,15.6,n1366x768,Intel Core i3,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,689.23
Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,3059.93
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2,2274.93
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,937.29
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,1223.03
Asus,ROG GL703VD-GC028T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,2208.99
HP,15-bs018nq,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,No OS,2.1,547.93
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,No OS,2.2,861.93
Huawei,MateBook X,Ultrabook,13.0,2160x1440,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.05,2353.43
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,1463.05
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,Nvidia GeForce GTX 940MX,No OS,2.8,924.73
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.63,1618.67
Dell,Latitude 5490,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,1803.93
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.62,2008.03
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon 520,Linux,2.2,1063.44
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.74,1411.43
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.2,2139.91
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1,1246.58
Dell,Alienware 17,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42,3856.45
Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.2,1306.24
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7,16,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3,1348.65
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 920MX ,Windows 10,2.0,1207.33
Asus,K756UX-T4340T,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,1398.87
HP,ZBook 15u,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,AMD FirePro W4190M ,Windows 10,1.9,1992.33
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.37,626.41
HP,15-rb013nv,Notebook,15.6,1366x768,AMD,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,518.1
Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,2353.43
Dell,Vostro 5468,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.6,1348.63
Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.6,1081.73
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,AMD Radeon R7 M445,Linux,2.36,1411.43
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Linux,2.1,612.3
Asus,X555QG-DM242T,Notebook,15.6,1920x1080,AMD,4,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,902.75
Asus,ROG G703VI-E5062T,Gaming,17.3,1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,Windows 10,4.7,6107.3
Acer,Nitro AN515-51,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,1328.22
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3,8,128GB SSD,Intel HD Graphics 520,Windows 10,2.2,924.73
Asus,VivoBook Pro,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce 150MX,Windows 10,2.1,1797.65
Asus,F756UX-T4201D,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,No OS,2.69,1395.73
Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56,1380.03
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.38,1694.03
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2,1546.45
HP,15-bs015dx,Notebook,15.6,n1366x768,Intel Core i5,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.04,877.63
Asus,Rog G701VIK-BA060T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.6,4708.43
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i5,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49,1059.75
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,512GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,3202.8
Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08,1285.83
Asus,ROG G752VSK-GC493T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3,2824.43
Asus,X505BP-BR019T,Notebook,15.6,1366x768,AMD,4,1TB HDD,AMD Radeon R5 M420,Windows 10,1.68,736.33
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.37,2902.93
Acer,Aspire 5,Notebook,17.3,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce MX130,Windows 10,3.0,1102.14
Dell,Vostro 5370,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41,1489.93
HP,15-BW094nd,Notebook,15.6,1366x768,AMD,8,128GB SSD,AMD Radeon R4 Graphics,Windows 10,1.91,700.06
HP,Envy 17-U275cl,Notebook,17.3,1920x1080,Intel Core i7,16,1TB HDD,Nvidia GeForce MX150,Windows 10,2.9,1662.63
MSI,GT73EVR 7RE,Gaming,17.3,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14,3923.43
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce GTX 1050M,Windows 10,2.0,2667.43
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1792.94
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD Graphics 520,No OS,2.2,697.08
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD Graphics 620,Windows 10,2.1,1133.54
Dell,Vostro 3568,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,1031.49
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24,887.05
Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67,1254.43
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows 10,1.1,2353.43
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD Graphics 620,No OS,2.2,733.19
HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.5,1598.26
Lenovo,V330-15IKB,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05,1381.6
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,512GB SSD,Intel Iris Graphics 550,macOS,1.37,3075.47
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,2431.93
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 520,Linux,2.14,1154.06
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD Graphics 520,Windows 10,1.36,3923.43
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7,8,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2,1274.84
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i7,12,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,1119.52
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8,1725.43
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,1169.65
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.8,767.73
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1920x1080,Intel Core i7,8,2TB HDD,Nvidia GeForce MX150,No OS,2.8,1332.93
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8,1348.63
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon R5 M430,Linux,2.25,671.96
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,1301.53
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,909.03
Acer,Aspire A517-51G,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce MX150,Windows 10,3.0,1493.07
Acer,SP315-51,Notebook,15.6,1920x1080,Intel Core i7,12,1TB HDD,Intel HD Graphics 620,Windows 10,2.15,1034.63
Lenovo,Thinkpad T570,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 630,Windows 10,1.95,1722.29
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1533.89
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1851.03
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,1034.65
Acer,Chromebook C910-C2ST,Notebook,15.6,1366x768,Intel Others,2,16GB SSD,Intel HD Graphics,Chrome OS,2.19,312.43
Asus,FX753VD-GC071T,Gaming,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,1863.59
HP,17-BS037cl,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.54,767.73
Dell,XPS 15,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.0,2871.53
Lenovo,V330-15IKB,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05,1160.23
Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,2039.43
Acer,Aspire A715-71G,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5,1537.03
Dell,Precision 7720,Workstation,17.3,1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42,4529.23
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,1920x1080,AMD,6,1TB HDD,AMD Radeon R5 430,Windows 10,2.4,783.43
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce 940MX,Windows 10,1.63,2304.76
Asus,VivoBook S14,Notebook,14.0,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 620,Windows 10,1.3,799.13
Asus,Rog GL702VS-GC095T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,3331.54
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5,6,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8,1018.93
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5,8,2TB HDD,Nvidia GeForce 940MX,No OS,2.2,861.93
Asus,GL553VE-FY082T,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1986.05
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 505,No OS,2.2,565.18
HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,16,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,3100.75
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2,1637.51
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,1285.83
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.86,736.33
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,1568.43
Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel Core i7,16,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21,3923.43
MSI,GE63VR 7RF,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,3295.43
Acer,ES1-523-84K7,Notebook,15.6,1920x1080,AMD,8,256GB SSD,AMD Radeon R5,Windows 10,2.23,736.33
Asus,VivoBook Flip,2 in 1 Convertible,11.6,n1366x768,Intel Others,2,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1,431.75
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33,1325.08
HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel Core i7,16,1TB SSD,Intel UHD Graphics 620,Windows 10,1.29,3844.93
Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Others,4,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45,722.04
HP,ProBook 640,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.95,1538.6
Acer,TravelMate B,Notebook,11.6,1366x768,Intel Others,4,128GB Flash Storage,Intel HD Graphics 405,Windows 10,1.4,761.45
HP,Elitebook 840,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.48,2028.44
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.79,924.73
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1717.58
HP,ProBook 450,Notebook,15.6,D1366x768,Intel Core i7,8,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1,1416.14
Acer,Aspire 5,Notebook,15.6,1366x768,AMD,8,256GB SSD,AMD Radeon RX 540,Windows 10,2.2,1034.63
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Others,4,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,458.44
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.23,861.93
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1648.34
HP,Elitebook 820,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.26,2095.95
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7,32,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,4143.23
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1882.43
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1480.51
Asus,UX510UX-CN269T,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.0,2094.38
Lenovo,V310-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,704.93
Asus,FX553VD-FY647T,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,1568.43
HP,EliteBook 840,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.48,1990.76
Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,1.9,1646.93
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.84,1796.08
Asus,X541NA,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 500,Linux,2.0,431.73
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.0,1794.12
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics,Linux,2.2,431.59
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD,12,2TB HDD,AMD Radeon 530,Windows 10,2.2,1411.43
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.1,1124.12
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,Intel Core i7,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4,3295.43
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2,2479.03
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1772.53
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel Others,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.44,438.03
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,2524.5
Asus,VivoBook Flip,2 in 1 Convertible,11.6,n1366x768,Intel Others,4,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5,588.75
Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon 530,Windows 10,1.9,1040.91
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,3183.05
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.84,2047.28
MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7,2212.13
HP,Zbook 15,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro M1200,Windows 10,2.6,2729.08
Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4,2202.71
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02,1524.31
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 500,No OS,2.2,505.52
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65,1568.43
Dell,Inspiron 3567,Notebook,15.6,n1366x768,Intel Core i5,8,2TB HDD,Intel HD Graphics 620,Windows 10,2.36,875.07
Dell,Latitude 7480,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2240.39
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,Windows 10,1.86,689.23
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1483.65
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.8,1128.83
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,1003.23
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2,783.43
HP,15-AY023na,Notebook,15.6,1366x768,Intel Others,8,2TB HDD,Intel HD Graphics 405,Windows 10,2.04,610.73
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1703.45
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4,1270.13
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33,1411.43
HP,Elitebook 1040,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2747.5
Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows 10,2.26,1725.43
